iter	Passed	Remaining
403	9772	2322
404	9797	2298
405	9821	2274
406	9845	2249
407	9873	2226
408	9898	2202
409	9921	2177
410	9944	2153
411	9967	2129
412	9989	2104
413	10012	2079
414	10035	2055
415	10060	2031
416	10085	2007
417	10108	1983
418	10133	1959
419	10163	1935
420	10190	1912
421	10215	1888
422	10239	1863
423	10264	1839
424	10288	1815
425	10316	1792
426	10343	1768
427	10367	1744
428	10390	1719
429	10414	1695
430	10439	1671
431	10461	1646
432	10486	1622
433	10511	1598
434	10534	1574
435	10560	1550
436	10584	1525
437	10611	1502
438	10635	1477
439	10658	1453
440	10680	1428
441	10703	1404
442	10728	1380
443	10749	1355
444	10772	1331
445	10797	1307
446	10821	1283
447	10848	1259
448	10871	1234
449	10894	1210
450	10918	1186
451	10941	1161
452	10968	1138
453	10997	1114
454	11024	1090
455	11052	1066
456	11079	1042
457	11107	1018
458	11133	994
459	11157	970
460	11181	945
461	11202	921
462	11227	897
463	11250	872
464	11274	848
465	11298	824
466	11321	799
467	11344	775
468	11368	751
469	11396	727
470	11420	703
471	11448	679
472	11472	654
473	11497	630
474	11520	606
475	11546	582
476	11572	557
477	11596	533
478	11619	509
479	11644	485
480	11669	460
481	11693	436
482	11718	412
483	11742	388
484	11764	363
485	11788	339
486	11813	315
487	11836	291
488	11861	266
489	11883	242
490	11907	218
491	11934	194
492	11960	169
493	11987	145
494	12011	121
495	12036	97
496	12061	72
497	12086	48
498	12110	24
499	12133	0
